Area,SalePrice,Zoning,LotArea,Neighborhood,OverallQuality,OverallCondition,YearBuilt,YearRemodAdd,ExteriorQuality,ExteriorCondition,FullBath,HalfBath,Bedrooms,KitchenQuality,TotalRooms,MonthSold,YearSold
1155,148000,RL,11782,Sawyer,5,7,1961,1995,3,3,1,0,3,4,6,6,2010
894,138500,RL,8450,Sawyer,5,8,1965,2009,3,4,1,0,3,3,5,4,2010
900,122000,RL,9819,Sawyer,5,5,1967,1967,3,4,1,0,3,3,5,2,2010
1040,133000,RL,7500,Sawyer,5,5,1963,1963,3,3,1,1,3,3,5,6,2010
1040,127000,RL,6897,Sawyer,5,8,1962,2010,3,4,1,1,3,3,6,4,2010
1494,169000,RL,15410,Sawyer,6,6,1974,2002,3,4,2,0,3,3,7,4,2010
1923,190000,RL,10186,Northridge,7,5,1992,1992,4,3,2,1,3,4,8,6,2010
2349,362500,RL,13143,Northridge,8,5,1993,1993,4,3,2,1,4,4,9,6,2010
2225,285000,RL,11134,Northridge,8,5,1992,1993,4,3,2,1,4,4,7,6,2010
788,155000,RL,4420,Greens,8,5,1980,1980,4,3,1,0,1,4,3,6,2010
1226,206000,RL,3880,Greens,8,6,1978,1978,4,3,1,0,1,4,4,1,2010
1479,130500,RL,13517,Sawyer,6,8,1976,2005,4,3,2,1,3,4,6,3,2010
1829,218500,RL,10456,Northwest Ames,6,6,1967,1967,3,3,2,0,4,3,8,5,2010
2495,243500,RL,10791,Northwest Ames,6,5,1993,1993,3,3,2,1,4,4,9,3,2010
1610,205000,RL,10603,Northwest Ames,6,7,1977,2001,3,3,2,0,3,4,6,2,2010
1891,212500,RL,18837,Northwest Ames,6,5,1978,1978,3,3,3,0,3,3,7,4,2010
1714,196500,RL,10421,Northwest Ames,7,5,1988,1988,3,3,2,1,3,3,7,3,2010
1381,197500,RL,9360,Northwest Ames,6,7,1972,2006,3,3,1,1,3,4,5,3,2010
1645,171000,RL,9600,Northwest Ames,6,6,1971,1971,3,3,1,2,4,3,7,6,2010
1232,142250,RL,9600,Northwest Ames,5,5,1966,1966,3,3,1,1,3,3,6,4,2010
1328,143000,RL,9790,Northwest Ames,6,5,1963,1963,3,3,1,1,3,3,6,6,2010
1225,128950,RL,9320,Northwest Ames,4,5,1959,1959,3,3,1,1,3,3,6,1,2010
1209,159000,RL,9900,Northwest Ames,5,5,1966,1966,3,3,1,0,3,3,6,4,2010
1510,178900,RL,9680,Northwest Ames,5,6,1967,1967,3,3,2,0,3,4,6,4,2010
1775,136300,RL,10600,Northwest Ames,6,5,1964,1964,3,3,2,0,3,3,8,5,2010
1152,180500,RL,14112,Northwest Ames,5,7,1964,1964,3,3,1,0,3,3,6,4,2010
1054,137500,RL,8800,Northwest Ames,6,7,1963,1963,3,4,1,0,3,4,6,5,2010
1728,84900,RL,13260,Northwest Ames,5,6,1962,2001,3,3,2,0,6,3,10,1,2010
1078,142125,RL,9717,Northwest Ames,5,6,1950,1996,3,3,1,0,2,4,5,4,2010
2461,197600,RL,9724,Northwest Ames,5,7,1952,2002,4,3,2,0,3,3,7,3,2010
1556,172500,RL,17360,Northwest Ames,6,6,1949,1950,3,4,2,0,3,3,6,1,2010
858,116500,RL,7207,Brookside,5,7,1958,2008,3,4,1,0,2,3,4,2,2010
1306,76500,RL,5350,Brookside,3,2,1940,1966,3,1,1,0,3,2,6,5,2010
1063,128000,RL,9920,Northwest Ames,5,5,1954,1954,3,3,1,0,3,3,6,2,2010
1520,153000,RL,9600,Northwest Ames,6,6,1955,1972,3,3,1,0,3,3,7,3,2010
1268,132000,RL,7800,Northwest Ames,5,6,1954,1954,3,3,1,0,2,3,7,3,2010
1128,178000,RL,11380,Northwest Ames,6,8,1966,2008,3,3,1,0,2,4,5,1,2010
2274,154300,RL,11600,Northwest Ames,5,5,1960,1960,3,3,2,0,5,3,12,1,2010
2207,180000,RL,19900,Northwest Ames,7,5,1970,1989,3,3,2,0,3,3,7,7,2010
1888,190000,RL,16492,Northwest Ames,6,6,1966,2002,4,3,2,1,2,4,6,6,2010
1604,135000,RL,8267,Northwest Ames,5,5,1958,1958,3,3,2,0,4,3,8,3,2010
1480,214000,RL,8197,Northwest Ames,7,5,2003,2009,4,3,2,0,3,4,7,2,2010
1143,136000,RL,8050,Northwest Ames,5,5,1959,1959,3,3,1,0,3,3,6,5,2010
1700,165500,RL,10552,Northwest Ames,5,5,1959,1959,3,3,1,1,4,4,6,4,2010
1314,145000,RL,8400,Northwest Ames,5,6,1957,1957,3,4,1,0,3,3,5,6,2010
1194,148000,RL,8760,Northwest Ames,6,6,1959,1959,3,3,1,0,3,3,6,4,2010
1188,142000,RL,12160,Northwest Ames,5,5,1959,1959,3,3,1,0,3,3,6,5,2010
1264,167500,RL,9300,Northwest Ames,5,5,1960,1960,3,3,1,0,3,3,6,4,2010
1206,108538,RL,10725,Northwest Ames,5,5,1959,1959,3,3,1,0,3,3,6,5,2010
1580,159500,RL,10032,Northwest Ames,6,5,1959,1959,3,3,1,1,3,3,6,6,2010
1337,108000,RL,8382,Northwest Ames,4,5,1956,1956,3,3,1,0,3,3,5,2,2010
1064,135000,RL,10950,Northwest Ames,5,7,1952,1952,3,3,1,0,2,2,4,5,2010
972,122500,RL,10895,Northwest Ames,5,6,1955,1955,3,4,1,0,3,3,5,6,2010
988,119000,RL,13587,Northwest Ames,5,5,1958,1958,3,3,1,0,2,3,5,4,2010
1057,109000,RL,7922,Northwest Ames,5,7,1953,2007,3,4,1,0,3,4,5,1,2010
985,105000,RL,7898,Northwest Ames,4,7,1920,1994,3,3,1,0,2,3,4,4,2010
827,107500,RL,7200,Northwest Ames,5,7,1955,2007,3,3,1,0,2,3,5,4,2010
1086,144900,RL,10200,Northwest Ames,5,7,1954,2003,3,3,1,0,3,3,6,5,2010
936,129000,RL,5868,Northwest Ames,5,7,1956,2000,3,3,1,0,2,3,4,5,2010
1458,97500,RL,17503,Northwest Ames,6,5,1948,1950,3,3,1,0,3,3,6,1,2010
1056,144000,RL,6979,Old Town,6,5,1980,1980,3,3,0,0,0,3,4,6,2010
1287,162000,RL,9830,Northwest Ames,5,7,1959,2006,3,4,1,0,3,4,7,3,2010
2978,242000,RL,11275,Northwest Ames,7,7,1967,2007,4,4,2,1,5,4,11,6,2010
1224,132000,RL,8064,Northwest Ames,6,8,1948,2004,3,3,1,0,3,3,5,5,2010
1246,154000,RL,7500,Northwest Ames,5,7,1959,1994,3,3,1,1,3,4,6,5,2010
1385,166000,RL,8520,Northwest Ames,5,4,1952,1952,3,2,2,0,4,3,6,6,2010
900,134800,RL,7200,Northwest Ames,5,7,1951,2000,3,3,1,0,3,4,5,5,2010
1116,160000,RL,10000,Northwest Ames,6,6,1962,1962,3,3,1,1,3,3,5,2,2010
1175,148000,RL,7635,Northwest Ames,5,6,1960,1960,3,3,1,1,3,3,6,6,2010
1395,192000,RL,9760,Northwest Ames,6,7,1963,1984,3,3,1,0,2,3,7,5,2010
1839,155000,RL,7700,Northwest Ames,6,5,1966,1966,3,3,1,1,4,3,7,6,2010
1844,80400,RM,4800,Old Town,4,5,1900,1954,3,3,1,0,3,3,9,1,2010
1140,96500,RM,8800,Old Town,4,7,1910,2004,3,3,1,0,3,3,7,6,2010
936,109500,RM,4485,Old Town,5,7,1920,1950,3,3,1,0,2,3,5,5,2010
1028,115000,RM,8960,Old Town,5,6,1927,1950,3,3,1,0,2,3,5,3,2010
1347,143000,RM,5805,Old Town,5,7,1957,1957,3,3,1,0,3,4,6,6,2010
1605,107400,RM,5790,Old Town,3,6,1915,1950,4,4,2,0,3,3,8,5,2010
747,80000,RM,4608,Old Town,4,6,1945,1950,3,4,1,0,2,3,4,6,2010
804,119000,RM,7200,Old Town,5,7,1940,1992,3,4,1,0,2,4,4,2,2010
1316,130000,RM,5500,Old Town,5,7,1929,2001,3,3,1,0,3,3,6,4,2010
1251,119000,RM,6900,Old Town,6,7,1938,2000,3,3,1,0,3,2,6,1,2010
1633,129000,RM,11851,Old Town,5,7,1948,2009,3,4,1,0,3,4,7,6,2010
1245,100000,RM,8239,Old Town,5,6,1920,1962,3,3,1,0,3,3,6,3,2010
832,12789,RM,9656,Old Town,2,2,1923,1970,3,2,1,0,2,3,5,6,2010
720,105900,RM,8520,Old Town,6,8,1928,2003,3,4,1,0,2,3,5,5,2010
1566,150000,RM,9600,Old Town,8,9,1900,2003,4,4,2,0,3,4,7,4,2010
1652,139000,RM,10800,Old Town,5,6,1915,1950,3,4,2,0,4,3,7,6,2010
2268,240000,RM,9000,Old Town,8,9,1890,2002,4,4,3,0,3,4,7,4,2010
2256,76500,RM,9045,Old Town,5,3,1910,1950,3,2,2,0,4,2,12,6,2010
1236,149700,RM,7407,Old Town,6,7,1957,1996,3,3,1,0,2,3,6,4,2010
1363,125500,RM,7740,Old Town,4,7,1910,1950,3,3,1,0,3,3,6,6,2010
2290,122500,RM,11340,Old Town,4,6,1885,1950,3,3,2,0,4,3,11,4,2010
1470,140750,RM,10560,Old Town,6,7,1922,1994,3,3,1,1,2,3,6,6,2010
1612,128500,RM,5830,Brookside,5,6,1950,1997,3,4,1,1,3,3,7,3,2010
2068,209500,RL,7793,Brookside,7,7,1922,2005,3,3,1,1,3,4,8,5,2010
765,87000,RM,5000,Brookside,4,7,1925,1950,3,3,1,0,2,4,4,4,2010
1132,134000,RM,6000,Brookside,6,7,1939,1950,3,3,1,0,2,3,5,4,2010
1196,128000,RM,6000,Brookside,6,6,1940,1950,3,4,1,1,3,3,6,3,2010
1453,132000,RM,6360,Brookside,5,6,1942,1950,3,3,1,1,3,4,7,3,2010
1416,139900,RM,6000,Brookside,6,7,1948,1950,3,3,1,1,3,3,6,3,2010
1040,123900,RM,6240,Brookside,5,7,1936,1980,3,3,1,0,2,3,5,5,2010
1536,138400,RM,6240,Brookside,5,5,1930,1950,3,3,2,0,4,3,7,3,2010
1068,109500,RM,6120,Old Town,6,5,1923,1950,3,3,1,0,2,3,5,3,2010
1710,140000,RM,10300,Old Town,7,6,1921,1950,3,3,2,0,3,3,9,4,2010
1962,149500,RM,8094,Old Town,4,5,1915,1950,3,2,1,1,4,3,9,6,2010
1560,159900,RM,12900,Old Town,6,8,1912,2009,4,4,1,1,3,4,7,5,2010
1324,122000,RM,3068,Old Town,6,8,1920,1993,3,4,1,0,3,3,6,2,2010
816,110000,RM,8472,Iowa DOT and Rail Road,5,5,1963,1963,2,3,1,0,2,3,5,5,2010
1092,55000,RM,5600,Iowa DOT and Rail Road,4,5,1930,1950,2,2,2,0,3,2,7,7,2010
1812,140000,RM,7630,Old Town,5,9,1900,1996,3,4,2,0,4,4,8,5,2010
2403,244400,RL,24090,Clear Creek,7,7,1940,1950,3,4,2,0,4,3,10,6,2010
1675,173000,RL,15263,Clear Creek,5,5,1959,1959,3,3,2,0,3,3,8,5,2010
1224,107500,RL,10632,Clear Creek,5,3,1917,1950,3,3,1,1,3,1,6,1,2010
1392,100000,RL,9900,South & West of Iowa State University,5,4,1915,1950,2,2,1,0,3,3,6,2,2010
919,95000,RL,6001,South & West of Iowa State University,6,5,1940,1950,3,3,1,0,3,3,5,3,2010
1680,114900,RH,6048,South & West of Iowa State University,5,7,1910,1950,3,4,2,0,2,3,7,6,2010
1020,94000,RL,6342,Sawyer,5,8,1875,1996,3,4,1,0,2,3,6,5,2010
1832,136000,RL,10773,Sawyer,4,3,1967,1967,2,2,2,0,4,3,8,5,2010
1768,136500,RL,10778,Sawyer,4,5,1968,1968,3,3,2,0,4,3,8,4,2010
1039,131500,RL,11625,Sawyer,5,4,1965,1965,3,3,1,1,3,3,6,4,2010
1392,121500,RL,11341,Sawyer,5,6,1957,1996,3,3,1,1,3,3,5,5,2010
912,125000,RL,8521,Sawyer,5,5,1967,1967,3,3,1,0,3,3,5,5,2010
1060,154000,RL,8246,Sawyer,5,8,1968,2001,3,4,1,0,3,4,6,5,2010
892,137900,RL,7800,Sawyer,5,7,1966,2008,3,3,1,0,3,4,5,6,2010
1352,158000,RL,9364,Sawyer,6,7,1969,1969,3,3,1,1,4,3,7,3,2010
864,137250,RL,7832,Sawyer,5,5,1968,1968,3,3,1,0,2,3,4,5,2010
1373,160250,RL,7424,Sawyer,5,5,1978,1978,3,3,1,0,3,3,5,5,2010
1440,163000,RL,11227,Sawyer,5,5,1968,1968,3,4,1,1,4,3,7,3,2010
1386,158900,RL,11616,Sawyer,6,5,1978,1978,3,3,2,1,3,3,6,4,2010
2260,328000,RL,14000,Clear Creek,7,5,1996,1997,4,3,2,1,3,4,7,4,2010
1483,270000,RL,20062,Clear Creek,7,7,1977,2001,4,4,1,1,1,3,4,4,2010
756,85000,RL,9259,Sawyer,4,4,1927,1950,3,3,1,0,2,3,4,6,2010
1067,128000,RL,9600,Sawyer,4,7,1950,1995,3,3,2,0,2,4,4,2,2010
1524,260000,RL,23595,Clear Creek,7,6,1979,1979,4,3,0,1,0,4,4,4,2010
1981,230000,RL,17082,Clear Creek,6,5,1978,1992,3,3,2,1,4,4,8,5,2010
1610,124000,RL,18600,Edwards,3,4,1938,1990,3,3,2,0,4,2,8,6,2010
835,83000,RL,10625,Edwards,5,5,1920,1950,3,3,1,0,2,3,5,5,2010
1074,144500,RL,11479,Edwards,6,7,1950,1987,3,3,1,0,3,4,6,6,2010
1144,129000,RL,9571,Edwards,5,6,1956,1956,3,3,1,0,3,3,6,6,2010
1531,127000,RL,9350,Edwards,4,6,1947,1979,3,3,1,0,3,3,8,6,2010
1172,128000,RL,9525,Edwards,5,7,1954,1998,3,3,1,0,3,3,5,6,2010
1212,186000,RL,10420,Edwards,6,5,2009,2009,3,3,2,0,3,4,6,3,2010
1508,308030,RL,17485,Edwards,7,5,2009,2010,4,3,1,0,1,4,5,1,2010
1298,114000,RL,11200,Edwards,5,3,1964,1964,3,2,2,0,3,3,5,6,2010
930,84900,RL,11100,Edwards,4,7,1946,2006,3,3,1,0,2,4,6,4,2010
1732,178000,RL,9206,Sawyer West,6,5,1985,1985,4,3,2,1,3,4,7,6,2010
1433,270000,RL,11980,Sawyer West,7,5,1987,1987,4,3,1,1,1,4,4,6,2010
1802,218000,RL,12361,Sawyer West,6,7,1993,1993,4,4,2,1,3,4,8,5,2010
1949,236000,RL,9938,Sawyer West,7,5,1993,1994,4,3,2,1,3,4,8,6,2010
996,147000,RL,9069,Sawyer West,6,6,1992,1992,3,3,1,0,2,4,5,4,2010
1694,245350,RL,10475,College Creek,8,5,2008,2008,4,3,2,0,3,4,7,2,2010
1208,206000,RL,6762,College Creek,7,5,2006,2006,4,3,2,0,2,4,6,2,2010
1226,198900,RL,10402,College Creek,7,5,2009,2009,3,3,2,0,3,4,6,5,2010
1222,187000,RL,7360,College Creek,7,5,2010,2010,4,3,2,0,2,4,6,3,2010
3222,320000,RL,12376,Sawyer West,7,5,1990,1990,3,3,3,0,5,4,11,5,2010
1445,138500,RL,14235,Sawyer West,6,8,1900,1993,3,3,2,0,3,3,6,3,2010
1052,155000,RL,8816,Clear Creek,6,7,1971,1971,3,3,1,0,3,3,6,6,2010
965,159000,RL,11105,College Creek,5,5,1996,1996,3,4,1,0,2,3,4,7,2010
1692,191000,RL,9337,College Creek,7,5,1997,1998,3,3,2,1,3,3,8,4,2010
1682,200500,RL,8750,College Creek,6,5,1998,1998,3,3,2,1,3,4,7,6,2010
1026,150000,RL,15240,College Creek,5,8,1977,2004,4,4,1,1,3,3,5,6,2010
1392,161750,RL,10900,College Creek,6,7,1977,1977,3,3,1,1,3,3,6,3,2010
894,128200,RL,10650,College Creek,5,6,1976,1976,3,3,1,0,3,3,5,2,2010
876,127000,RL,7480,College Creek,5,6,1972,1972,3,3,1,0,3,3,5,6,2010
1978,318000,RL,10389,College Creek,8,5,2003,2003,4,3,2,1,3,4,8,5,2010
1601,272000,RL,11423,College Creek,8,5,2001,2002,4,3,2,0,3,4,6,5,2010
1829,237000,RL,9548,College Creek,7,6,2003,2003,4,3,2,1,3,4,7,1,2010
2098,240000,RL,9375,College Creek,7,5,1997,1997,4,3,2,1,4,4,9,4,2010
1661,224900,RL,12137,College Creek,7,5,1998,1998,3,3,2,0,3,4,6,5,2010
848,143750,RM,4435,College Creek,6,5,2003,2003,4,3,1,0,1,4,4,4,2010
848,143000,RM,4426,College Creek,6,5,2004,2004,4,3,1,0,1,4,3,5,2010
1668,232000,RL,10635,College Creek,8,5,2003,2003,4,3,2,0,3,4,8,5,2010
1484,213000,RL,8400,College Creek,7,5,2004,2005,4,3,2,0,3,4,7,5,2010
1414,185500,RL,8773,College Creek,7,5,2004,2004,4,3,2,0,3,4,6,5,2010
640,84900,RL,8777,Edwards,3,6,1945,2007,3,4,1,0,2,3,5,4,2010
992,155891,RL,8842,Edwards,5,6,1954,1954,3,4,1,0,3,3,6,1,2010
1664,100000,RL,9825,Edwards,5,5,1965,1965,3,3,2,0,4,3,8,5,2010
1196,144000,RL,10044,Edwards,5,6,1968,1968,3,3,1,0,3,3,6,6,2010
1120,64000,RL,11792,Edwards,4,5,1948,1950,3,3,1,0,2,2,5,6,2010
1096,125200,RL,6305,Edwards,6,6,1975,1975,3,3,1,0,3,3,5,6,2010
1117,107000,RL,7819,Edwards,6,5,1976,1976,3,3,1,0,3,3,6,3,2010
960,90000,RL,6410,Edwards,4,5,1958,1958,3,3,1,0,3,3,5,5,2010
1121,140000,RM,8546,Edwards,4,5,2003,2004,3,3,2,0,2,3,5,3,2010
1487,113000,RL,8741,Edwards,6,4,1945,1950,3,3,1,1,3,3,7,4,2010
924,80000,RL,12180,Edwards,4,4,1941,1950,3,2,1,0,2,2,5,7,2010
1526,144500,RL,8562,Edwards,5,6,1957,2002,3,3,1,0,4,3,7,5,2010
1296,104000,RL,4853,South & West of Iowa State University,5,6,1924,1999,3,3,2,0,2,2,5,5,2010
1647,128000,RL,6858,South & West of Iowa State University,6,4,1915,1950,3,3,1,1,4,2,6,5,2010
864,58500,RL,8212,Edwards,3,3,1914,1950,3,2,1,0,2,3,5,6,2010
1691,127000,RL,5000,South & West of Iowa State University,5,6,1924,1950,3,3,2,0,3,4,6,5,2010
856,126000,RL,7890,South & West of Iowa State University,6,6,1939,1950,3,3,1,0,2,3,4,3,2010
2650,160000,RH,7200,South & West of Iowa State University,4,6,1967,1967,3,3,3,0,6,3,10,2,2010
1666,100000,RL,9839,South & West of Iowa State University,5,2,1931,1950,3,3,1,0,3,3,7,5,2010
2447,169000,RL,9638,South & West of Iowa State University,6,7,1919,1990,3,3,2,0,4,4,10,3,2010
2133,257500,RL,10452,Crawford,7,6,1941,1985,4,4,1,1,4,3,8,7,2010
2177,215000,RL,15600,Crawford,5,6,1950,1991,3,4,2,1,5,3,11,3,2010
2340,266500,RL,9042,Crawford,7,9,1941,2006,5,4,2,0,4,4,9,5,2010
1902,335000,RL,17500,Crawford,7,8,1959,2002,4,4,2,0,3,5,7,5,2010
1652,203135,RL,19645,Crawford,7,6,1994,2007,3,3,2,1,3,4,6,6,2010
1034,185000,RM,3907,Bluestem,8,6,1989,1989,4,3,1,0,1,4,4,4,2010
1191,162500,RM,3907,Bluestem,8,5,1989,1989,4,3,2,0,2,4,5,3,2010
1801,289000,RL,15602,Crawford,7,8,1959,1997,3,3,2,0,1,3,6,3,2010
1154,125500,RM,5436,Iowa DOT and Rail Road,4,8,1922,2007,3,4,1,0,3,4,7,5,2010
540,82000,RM,8154,Iowa DOT and Rail Road,2,5,1941,1950,3,3,1,0,1,3,4,4,2010
1107,110000,RM,9140,Iowa DOT and Rail Road,6,5,1921,1975,3,3,1,0,2,3,5,4,2010
1646,246000,RM,3811,Crawford,8,5,2004,2005,4,3,2,0,2,4,5,5,2010
1916,254900,RL,11050,Mitchell,8,5,1998,1999,4,3,2,1,3,4,8,5,2010
1285,190000,RL,9620,Mitchell,6,7,1977,1977,3,3,2,0,3,4,6,5,2010
1560,201000,RL,9196,Mitchell,7,5,2003,2003,4,3,2,0,3,4,7,4,2010
1034,169900,RL,12328,Mitchell,6,5,1976,1976,3,3,1,0,3,3,6,5,2010
2048,170000,RL,12760,Mitchell,6,5,1976,1976,3,3,3,0,5,3,9,3,2010
